StartTime,EndTime,AreaID,UnitName,PsrType,quantity,hourly_time
2021-12-31 23:00:00+00:00,2022-01-01 00:00:00+00:00,10Y1001A1001A83F,MAW,B14,3351,2021-12-31 23:00:00+00:00
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+00:00,10Y1001A1001A83F,MAW,B14,13388,2022-01-01 00:00:00+00:00
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+00:00,10Y1001A1001A83F,MAW,B14,13378,2022-01-01 01:00:00+00:00
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+00:00,10Y1001A1001A83F,MAW,B14,13364,2022-01-01 02:00:00+00:00
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+00:00,10Y1001A1001A83F,MAW,B14,13373,2022-01-01 03:00:00+00:00
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+00:00,10Y1001A1001A83F,MAW,B14,13387,2022-01-01 04:00:00+00:00
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+00:00,10Y1001A1001A83F,MAW,B14,13370,2022-01-01 05:00:00+00:00
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+00:00,10Y1001A1001A83F,MAW,B14,13322,2022-01-01 06:00:00+00:00
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+00:00,10Y1001A1001A83F,MAW,B14,13360,2022-01-01 07:00:00+00:00
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+00:00,10Y1001A1001A83F,MAW,B14,13329,2022-01-01 08:00:00+00:00
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+00:00,10Y1001A1001A83F,MAW,B14,13364,2022-01-01 09:00:00+00:00
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+00:00,10Y1001A1001A83F,MAW,B14,13383,2022-01-01 10:00:00+00:00
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+00:00,10Y1001A1001A83F,MAW,B14,13385,2022-01-01 11:00:00+00:00
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+00:00,10Y1001A1001A83F,MAW,B14,13306,2022-01-01 12:00:00+00:00
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+00:00,10Y1001A1001A83F,MAW,B14,13289,2022-01-01 13:00:00+00:00
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+00:00,10Y1001A1001A83F,MAW,B14,13383,2022-01-01 14:00:00+00:00
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+00:00,10Y1001A1001A83F,MAW,B14,13387,2022-01-01 15:00:00+00:00
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+00:00,10Y1001A1001A83F,MAW,B14,13404,2022-01-01 16:00:00+00:00
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+00:00,10Y1001A1001A83F,MAW,B14,13406,2022-01-01 17:00:00+00:00
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,10Y1001A1001A83F,MAW,B14,13409,2022-01-01 18:00:00+00:00
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+00:00,10Y1001A1001A83F,MAW,B14,13406,2022-01-01 19:00:00+00:00
2022-01-01 20:00:00+00:00,2022-01-01 21:00:00+00:00,10Y1001A1001A83F,MAW,B14,13413,2022-01-01 20:00:00+00:00
2022-01-01 21:00:00+00:00,2022-01-01 22:00:00+00:00,10Y1001A1001A83F,MAW,B14,13436,2022-01-01 21:00:00+00:00
2022-01-01 22:00:00+00:00,2022-01-01 23:00:00+00:00,10Y1001A1001A83F,MAW,B14,13412,2022-01-01 22:00:00+00:00
2022-01-01 23:00:00+00:00,2022-01-02 00:00:00+00:00,10Y1001A1001A83F,MAW,B14,13116,2022-01-01 23:00:00+00:00
2022-01-02 00:00:00+00:00,2022-01-02 01:00:00+00:00,10Y1001A1001A83F,MAW,B14,12806,2022-01-02 00:00:00+00:00
2022-01-02 01:00:00+00:00,2022-01-02 02:00:00+00:00,10Y1001A1001A83F,MAW,B14,13105,2022-01-02 01:00:00+00:00
2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+00:00,10Y1001A1001A83F,MAW,B14,13344,2022-01-02 02:00:00+00:00
2022-01-02 03:00:00+00:00,2022-01-02 04:00:00+00:00,10Y1001A1001A83F,MAW,B14,13345,2022-01-02 03:00:00+00:00
2022-01-02 04:00:00+00:00,2022-01-02 05:00:00+00:00,10Y1001A1001A83F,MAW,B14,13324,2022-01-02 04:00:00+00:00
2022-01-02 05:00:00+00:00,2022-01-02 06:00:00+00:00,10Y1001A1001A83F,MAW,B14,13352,2022-01-02 05:00:00+00:00
2022-01-02 06:00:00+00:00,2022-01-02 07:00:00+00:00,10Y1001A1001A83F,MAW,B14,13466,2022-01-02 06:00:00+00:00
2022-01-02 07:00:00+00:00,2022-01-02 08:00:00+00:00,10Y1001A1001A83F,MAW,B14,13361,2022-01-02 07:00:00+00:00
2022-01-02 08:00:00+00:00,2022-01-02 09:00:00+00:00,10Y1001A1001A83F,MAW,B14,13458,2022-01-02 08:00:00+00:00
2022-01-02 09:00:00+00:00,2022-01-02 10:00:00+00:00,10Y1001A1001A83F,MAW,B14,13401,2022-01-02 09:00:00+00:00
2022-01-02 10:00:00+00:00,2022-01-02 11:00:00+00:00,10Y1001A1001A83F,MAW,B14,13475,2022-01-02 10:00:00+00:00
2022-01-02 11:00:00+00:00,2022-01-02 12:00:00+00:00,10Y1001A1001A83F,MAW,B14,13455,2022-01-02 11:00:00+00:00
2022-01-02 12:00:00+00:00,2022-01-02 13:00:00+00:00,10Y1001A1001A83F,MAW,B14,13406,2022-01-02 12:00:00+00:00
2022-01-02 13:00:00+00:00,2022-01-02 14:00:00+00:00,10Y1001A1001A83F,MAW,B14,13415,2022-01-02 13:00:00+00:00
2022-01-02 14:00:00+00:00,2022-01-02 15:00:00+00:00,10Y1001A1001A83F,MAW,B14,13389,2022-01-02 14:00:00+00:00
2022-01-02 15:00:00+00:00,2022-01-02 16:00:00+00:00,10Y1001A1001A83F,MAW,B14,13385,2022-01-02 15:00:00+00:00
2022-01-02 16:00:00+00:00,2022-01-02 17:00:00+00:00,10Y1001A1001A83F,MAW,B14,13376,2022-01-02 16:00:00+00:00
2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,10Y1001A1001A83F,MAW,B14,13302,2022-01-02 17:00:00+00:00
2022-01-02 18:00:00+00:00,2022-01-02 19:00:00+00:00,10Y1001A1001A83F,MAW,B14,13304,2022-01-02 18:00:00+00:00
2022-01-02 19:00:00+00:00,2022-01-02 20:00:00+00:00,10Y1001A1001A83F,MAW,B14,13272,2022-01-02 19:00:00+00:00
2022-01-02 20:00:00+00:00,2022-01-02 21:00:00+00:00,10Y1001A1001A83F,MAW,B14,13261,2022-01-02 20:00:00+00:00
2022-01-02 21:00:00+00:00,2022-01-02 22:00:00+00:00,10Y1001A1001A83F,MAW,B14,13433,2022-01-02 21:00:00+00:00
2022-01-02 22:00:00+00:00,2022-01-02 23:00:00+00:00,10Y1001A1001A83F,MAW,B14,13381,2022-01-02 22:00:00+00:00
2022-01-02 23:00:00+00:00,2022-01-03 00:00:00+00:00,10Y1001A1001A83F,MAW,B14,13345,2022-01-02 23:00:00+00:00
2022-01-03 00:00:00+00:00,2022-01-03 01:00:00+00:00,10Y1001A1001A83F,MAW,B14,12953,2022-01-03 00:00:00+00:00
2022-01-03 01:00:00+00:00,2022-01-03 02:00:00+00:00,10Y1001A1001A83F,MAW,B14,12548,2022-01-03 01:00:00+00:00
2022-01-03 02:00:00+00:00,2022-01-03 03:00:00+00:00,10Y1001A1001A83F,MAW,B14,12373,2022-01-03 02:00:00+00:00
2022-01-03 03:00:00+00:00,2022-01-03 04:00:00+00:00,10Y1001A1001A83F,MAW,B14,12696,2022-01-03 03:00:00+00:00
2022-01-03 04:00:00+00:00,2022-01-03 05:00:00+00:00,10Y1001A1001A83F,MAW,B14,13343,2022-01-03 04:00:00+00:00
2022-01-03 05:00:00+00:00,2022-01-03 06:00:00+00:00,10Y1001A1001A83F,MAW,B14,13314,2022-01-03 05:00:00+00:00
2022-01-03 06:00:00+00:00,2022-01-03 07:00:00+00:00,10Y1001A1001A83F,MAW,B14,13366,2022-01-03 06:00:00+00:00
2022-01-03 07:00:00+00:00,2022-01-03 08:00:00+00:00,10Y1001A1001A83F,MAW,B14,13383,2022-01-03 07:00:00+00:00
2022-01-03 08:00:00+00:00,2022-01-03 09:00:00+00:00,10Y1001A1001A83F,MAW,B14,13392,2022-01-03 08:00:00+00:00
2022-01-03 09:00:00+00:00,2022-01-03 10:00:00+00:00,10Y1001A1001A83F,MAW,B14,13430,2022-01-03 09:00:00+00:00
2022-01-03 10:00:00+00:00,2022-01-03 11:00:00+00:00,10Y1001A1001A83F,MAW,B14,14406,2022-01-03 10:00:00+00:00
2022-01-03 11:00:00+00:00,2022-01-03 12:00:00+00:00,10Y1001A1001A83F,MAW,B14,15909,2022-01-03 11:00:00+00:00
